  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
1583 6931     |   2  95   2 1583    
- - - - - - - - - - - - - - - - - - - 
1584 6941     |  10   0   0 1584    
1585 6943     |   2   2   1 1585    
1586 6947     |   4   6   1 1586    
1587 6949     |   2   8   2 1587    
1588 6953     |   4  12   2 1588    
1589 6959     |   6  18   1 1589    
1590 6961     |   2  20   2 1590    
1591 6967     |   6  26   2 1591    
1592 6971     |   4  30   2 1592    
1593 6973     |   2  32   2 1593    
1594 6977     |   4  36   2 1594    
1595 6983     |   6  42   2 1595    
1596 6989     |   6  48   2 1596    
1597 6991     |   2  50   2 1597    
1598 6997     |   6  56   2 1598    
1599 7001     |   4  60   2 1599    
1600 7003     |   2  62   2 1600    
1601 7009     |   6  68   2 1601    
1602 7013     |   4  72   2 1602    
1603 7019     |   6  78   2 1603    
1604 7027     |   8  86   1 1604    
1605 7031     |   4  90   1 1605    
1606 7033     |   2  92   1 1606    
1607 7037     |   4  96   2 1607    
1608 7039     |   2  98   2 1608    
1609 7043     |   4 102   2 1609    
1610 7051     |   8   5   1 1610    
1611 7057     |   6  11   1 1611    
1612 7061     |   4  15   1 1612    
1613 7067     |   6  21   1 1613    
1614 7069     |   2  23   1 1614    
1615 7073     |   4  27   1 1615    
1616 7079     |   6  33   1 1616    
1617 7081     |   2  35   1 1617    
1618 7087     |   6  41   1 1618    
1619 7093     |   6  47   1 1619    
1620 7097     |   4  51   1 1620    
1621 7099     |   2  53   1 1621    
1622 7103     |   4  57   1 1622    
1623 7109     |   6  63   1 1623    
1624 7111     |   2  65   2 1624    
1625 7117     |   6  71   1 1625    
1626 7121     |   4  75   1 1626    
1627 7123     |   2  77   2 1627    
1628 7127     |   4  81   2 1628    
1629 7129     |   2  83   3 1629    
1630 7139     |  10  93   1 1630    
1631 7141     |   2  95   2 1631    
- - - - - - - - - - - - - - - - - - - 
1632 7151     |  10   0   0 1632    
1633 7153     |   2   2   1 1633    
1634 7157     |   4   6   1 1634    
1635 7159     |   2   8   2 1635    
1636 7163     |   4  12   2 1636    
1637 7169     |   6  18   1 1637    
1638 7171     |   2  20   2 1638    
1639 7177     |   6  26   2 1639    
1640 7181     |   4  30   2 1640    
1641 7183     |   2  32   2 1641    
1642 7187     |   4  36   2 1642    
1643 7193     |   6  42   2 1643    
1644 7199     |   6  48   2 1644    
1645 7201     |   2  50   2 1645    
1646 7207     |   6  56   2 1646    
1647 7211     |   4  60   2 1647    
1648 7213     |   2  62   2 1648    
1649 7219     |   6  68   2 1649    
1650 7223     |   4  72   2 1650    
1651 7229     |   6  78   2 1651    
1652 7237     |   8  86   1 1652    
1653 7241     |   4  90   1 1653    
1654 7243     |   2  92   1 1654    
1655 7247     |   4  96   2 1655    
1656 7249     |   2  98   2 1656    
1657 7253     |   4 102   2 1657    
1658 7261     |   8   5   1 1658    
1659 7267     |   6  11   1 1659    
1660 7271     |   4  15   1 1660    
1661 7277     |   6  21   1 1661    
1662 7279     |   2  23   1 1662    
1663 7283     |   4  27   1 1663    
1664 7289     |   6  33   1 1664    
1665 7291     |   2  35   1 1665    
1666 7297     |   6  41   1 1666    
1667 7303     |   6  47   1 1667    
1668 7307     |   4  51   1 1668    
1669 7309     |   2  53   1 1669    
1670 7313     |   4  57   1 1670    
1671 7319     |   6  63   1 1671    
1672 7321     |   2  65   2 1672    
1673 7327     |   6  71   1 1673    
1674 7331     |   4  75   1 1674    
1675 7333     |   2  77   2 1675    
1676 7337     |   4  81   2 1676    
1677 7339     |   2  83   3 1677    
1678 7349     |  10  93   1 1678    
1679 7351     |   2  95   2 1679    
- - - - - - - - - - - - - - - - - - - 
1680 7361     |  10   0   0 1680    
1681 7363     |   2   2   1 1681    
1682 7367     |   4   6   1 1682    
1683 7369     |   2   8   2 1683    
1684 7373     |   4  12   2 1684    
1685 7379     |   6  18   1 1685    
1686 7381     |   2  20   2 1686    
1687 7387     |   6  26   2 1687    
1688 7391     |   4  30   2 1688    
1689 7393     |   2  32   2 1689    
1690 7397     |   4  36   2 1690    
1691 7403     |   6  42   2 1691    
1692 7409     |   6  48   2 1692    
1693 7411     |   2  50   2 1693    
1694 7417     |   6  56   2 1694    
1695 7421     |   4  60   2 1695    
1696 7423     |   2  62   2 1696    
1697 7429     |   6  68   2 1697    
1698 7433     |   4  72   2 1698    
1699 7439     |   6  78   2 1699    
1700 7447     |   8  86   1 1700    
1701 7451     |   4  90   1 1701    
1702 7453     |   2  92   1 1702    
1703 7457     |   4  96   2 1703    
1704 7459     |   2  98   2 1704    
1705 7463     |   4 102   2 1705    
1706 7471     |   8   5   1 1706    
1707 7477     |   6  11   1 1707    
1708 7481     |   4  15   1 1708    
1709 7487     |   6  21   1 1709    
1710 7489     |   2  23   1 1710    
1711 7493     |   4  27   1 1711    
1712 7499     |   6  33   1 1712    
1713 7501     |   2  35   1 1713    
1714 7507     |   6  41   1 1714    
1715 7513     |   6  47   1 1715    
1716 7517     |   4  51   1 1716    
1717 7519     |   2  53   1 1717    
1718 7523     |   4  57   1 1718    
1719 7529     |   6  63   1 1719    
1720 7531     |   2  65   2 1720    
1721 7537     |   6  71   1 1721    
1722 7541     |   4  75   1 1722    
1723 7543     |   2  77   2 1723    
1724 7547     |   4  81   2 1724    
1725 7549     |   2  83   3 1725    
1726 7559     |  10  93   1 1726    
1727 7561     |   2  95   2 1727    
- - - - - - - - - - - - - - - - - - - 
1728 7571     |  10   0   0 1728    
1729 7573     |   2   2   1 1729    
1730 7577     |   4   6   1 1730    
1731 7579     |   2   8   2 1731    
1732 7583     |   4  12   2 1732    
1733 7589     |   6  18   1 1733    
1734 7591     |   2  20   2 1734    
1735 7597     |   6  26   2 1735    
1736 7601     |   4  30   2 1736    
1737 7603     |   2  32   2 1737    
1738 7607     |   4  36   2 1738    
1739 7613     |   6  42   2 1739    
1740 7619     |   6  48   2 1740    
1741 7621     |   2  50   2 1741    
1742 7627     |   6  56   2 1742    
1743 7631     |   4  60   2 1743    
1744 7633     |   2  62   2 1744    
1745 7639     |   6  68   2 1745    
1746 7643     |   4  72   2 1746    
1747 7649     |   6  78   2 1747    
1748 7657     |   8  86   1 1748    
1749 7661     |   4  90   1 1749    
1750 7663     |   2  92   1 1750    
1751 7667     |   4  96   2 1751    
1752 7669     |   2  98   2 1752    
1753 7673     |   4 102   2 1753    
1754 7681     |   8   5   1 1754    
1755 7687     |   6  11   1 1755    
1756 7691     |   4  15   1 1756    
1757 7697     |   6  21   1 1757    
1758 7699     |   2  23   1 1758    
1759 7703     |   4  27   1 1759    
1760 7709     |   6  33   1 1760    
1761 7711     |   2  35   1 1761    
1762 7717     |   6  41   1 1762    
1763 7723     |   6  47   1 1763    
1764 7727     |   4  51   1 1764    
1765 7729     |   2  53   1 1765    
1766 7733     |   4  57   1 1766    
1767 7739     |   6  63   1 1767    
1768 7741     |   2  65   2 1768    
1769 7747     |   6  71   1 1769    
1770 7751     |   4  75   1 1770    
1771 7753     |   2  77   2 1771    
1772 7757     |   4  81   2 1772    
1773 7759     |   2  83   3 1773    
1774 7769     |  10  93   1 1774    
1775 7771     |   2  95   2 1775    
- - - - - - - - - - - - - - - - - - - 
1776 7781     |  10   0   0 1776    
1777 7783     |   2   2   1 1777    
1778 7787     |   4   6   1 1778    
1779 7789     |   2   8   2 1779    
1780 7793     |   4  12   2 1780    
1781 7799     |   6  18   1 1781    
1782 7801     |   2  20   2 1782    
1783 7807     |   6  26   2 1783    
1784 7811     |   4  30   2 1784    
1785 7813     |   2  32   2 1785    
1786 7817     |   4  36   2 1786    
1787 7823     |   6  42   2 1787    
1788 7829     |   6  48   2 1788    
1789 7831     |   2  50   2 1789    
1790 7837     |   6  56   2 1790    
1791 7841     |   4  60   2 1791    
1792 7843     |   2  62   2 1792    
1793 7849     |   6  68   2 1793    
1794 7853     |   4  72   2 1794    
1795 7859     |   6  78   2 1795    
1796 7867     |   8  86   1 1796    
1797 7871     |   4  90   1 1797    
1798 7873     |   2  92   1 1798    
1799 7877     |   4  96   2 1799    
1800 7879     |   2  98   2 1800    
1801 7883     |   4 102   2 1801    
1802 7891     |   8   5   1 1802    
1803 7897     |   6  11   1 1803    
1804 7901     |   4  15   1 1804    
1805 7907     |   6  21   1 1805    
1806 7909     |   2  23   1 1806    
1807 7913     |   4  27   1 1807    
1808 7919     |   6  33   1 1808    
1809 7921     |   2  35   1 1809    
1810 7927     |   6  41   1 1810    
1811 7933     |   6  47   1 1811    
1812 7937     |   4  51   1 1812    
1813 7939     |   2  53   1 1813    
1814 7943     |   4  57   1 1814    
1815 7949     |   6  63   1 1815    
1816 7951     |   2  65   2 1816    
1817 7957     |   6  71   1 1817    
1818 7961     |   4  75   1 1818    
1819 7963     |   2  77   2 1819    
1820 7967     |   4  81   2 1820    
1821 7969     |   2  83   3 1821    
1822 7979     |  10  93   1 1822    
1823 7981     |   2  95   2 1823    
- - - - - - - - - - - - - - - - - - - 
1824 7991     |  10   0   0 1824    
1825 7993     |   2   2   1 1825    
1826 7997     |   4   6   1 1826    
1827 7999     |   2   8   2 1827    
1828 8003     |   4  12   2 1828    
1829 8009     |   6  18   1 1829    
1830 8011     |   2  20   2 1830    
1831 8017     |   6  26   2 1831    
1832 8021     |   4  30   2 1832    
1833 8023     |   2  32   2 1833    
1834 8027     |   4  36   2 1834    
1835 8033     |   6  42   2 1835    
1836 8039     |   6  48   2 1836    
1837 8041     |   2  50   2 1837    
1838 8047     |   6  56   2 1838    
1839 8051     |   4  60   2 1839    
1840 8053     |   2  62   2 1840    
1841 8059     |   6  68   2 1841    
1842 8063     |   4  72   2 1842    
1843 8069     |   6  78   2 1843    
1844 8077     |   8  86   1 1844    
1845 8081     |   4  90   1 1845    
1846 8083     |   2  92   1 1846    
1847 8087     |   4  96   2 1847    
1848 8089     |   2  98   2 1848    
1849 8093     |   4 102   2 1849    
1850 8101     |   8   5   1 1850    
1851 8107     |   6  11   1 1851    
1852 8111     |   4  15   1 1852    
1853 8117     |   6  21   1 1853    
1854 8119     |   2  23   1 1854    
1855 8123     |   4  27   1 1855    
1856 8129     |   6  33   1 1856    
1857 8131     |   2  35   1 1857    
1858 8137     |   6  41   1 1858    
1859 8143     |   6  47   1 1859    
1860 8147     |   4  51   1 1860    
1861 8149     |   2  53   1 1861    
1862 8153     |   4  57   1 1862    
1863 8159     |   6  63   1 1863    
1864 8161     |   2  65   2 1864    
1865 8167     |   6  71   1 1865    
1866 8171     |   4  75   1 1866    
1867 8173     |   2  77   2 1867    
1868 8177     |   4  81   2 1868    
1869 8179     |   2  83   3 1869    
1870 8189     |  10  93   1 1870    
1871 8191     |   2  95   2 1871    
- - - - - - - - - - - - - - - - - - - 
1872 8201     |  10   0   0 1872    
1873 8203     |   2   2   1 1873    
1874 8207     |   4   6   1 1874    
1875 8209     |   2   8   2 1875    
1876 8213     |   4  12   2 1876    
1877 8219     |   6  18   1 1877    
1878 8221     |   2  20   2 1878    
1879 8227     |   6  26   2 1879    
1880 8231     |   4  30   2 1880    
1881 8233     |   2  32   2 1881    
1882 8237     |   4  36   2 1882    
1883 8243     |   6  42   2 1883    
1884 8249     |   6  48   2 1884    
1885 8251     |   2  50   2 1885    
1886 8257     |   6  56   2 1886    
1887 8261     |   4  60   2 1887    
1888 8263     |   2  62   2 1888    
1889 8269     |   6  68   2 1889    
1890 8273     |   4  72   2 1890    
1891 8279     |   6  78   2 1891    
1892 8287     |   8  86   1 1892    
1893 8291     |   4  90   1 1893    
1894 8293     |   2  92   1 1894    
1895 8297     |   4  96   2 1895    
1896 8299     |   2  98   2 1896    
1897 8303     |   4 102   2 1897    
1898 8311     |   8   5   1 1898    
1899 8317     |   6  11   1 1899    
1900 8321     |   4  15   1 1900    
1901 8327     |   6  21   1 1901    
1902 8329     |   2  23   1 1902    
1903 8333     |   4  27   1 1903    
1904 8339     |   6  33   1 1904    
1905 8341     |   2  35   1 1905    
1906 8347     |   6  41   1 1906    
1907 8353     |   6  47   1 1907    
1908 8357     |   4  51   1 1908    
1909 8359     |   2  53   1 1909    
1910 8363     |   4  57   1 1910    
1911 8369     |   6  63   1 1911    
1912 8371     |   2  65   2 1912    
1913 8377     |   6  71   1 1913    
1914 8381     |   4  75   1 1914    
1915 8383     |   2  77   2 1915    
1916 8387     |   4  81   2 1916    
1917 8389     |   2  83   3 1917    
1918 8399     |  10  93   1 1918    
1919 8401     |   2  95   2 1919    
- - - - - - - - - - - - - - - - - - - 
1920 8411     |  10   0   0 1920    
1921 8413     |   2   2   1 1921    
1922 8417     |   4   6   1 1922    
1923 8419     |   2   8   2 1923    
1924 8423     |   4  12   2 1924    
1925 8429     |   6  18   1 1925    
1926 8431     |   2  20   2 1926    
1927 8437     |   6  26   2 1927    
1928 8441     |   4  30   2 1928    
1929 8443     |   2  32   2 1929    
1930 8447     |   4  36   2 1930    
1931 8453     |   6  42   2 1931    
1932 8459     |   6  48   2 1932    
1933 8461     |   2  50   2 1933    
1934 8467     |   6  56   2 1934    
1935 8471     |   4  60   2 1935    
1936 8473     |   2  62   2 1936    
1937 8479     |   6  68   2 1937    
1938 8483     |   4  72   2 1938    
1939 8489     |   6  78   2 1939    
1940 8497     |   8  86   1 1940    
1941 8501     |   4  90   1 1941    
1942 8503     |   2  92   1 1942    
1943 8507     |   4  96   2 1943    
1944 8509     |   2  98   2 1944    
1945 8513     |   4 102   2 1945    
1946 8521     |   8   5   1 1946    
1947 8527     |   6  11   1 1947    
1948 8531     |   4  15   1 1948    
1949 8537     |   6  21   1 1949    
1950 8539     |   2  23   1 1950    
1951 8543     |   4  27   1 1951    
1952 8549     |   6  33   1 1952    
1953 8551     |   2  35   1 1953    
1954 8557     |   6  41   1 1954    
1955 8563     |   6  47   1 1955    
1956 8567     |   4  51   1 1956    
1957 8569     |   2  53   1 1957    
1958 8573     |   4  57   1 1958    
1959 8579     |   6  63   1 1959    
1960 8581     |   2  65   2 1960    
1961 8587     |   6  71   1 1961    
1962 8591     |   4  75   1 1962    
1963 8593     |   2  77   2 1963    
1964 8597     |   4  81   2 1964    
1965 8599     |   2  83   3 1965    
1966 8609     |  10  93   1 1966    
1967 8611     |   2  95   2 1967    
- - - - - - - - - - - - - - - - - - - 
1968 8621     |  10   0   0 1968    
1969 8623     |   2   2   1 1969    
1970 8627     |   4   6   1 1970    
1971 8629     |   2   8   2 1971    
1972 8633     |   4  12   2 1972    
1973 8639     |   6  18   1 1973    
1974 8641     |   2  20   2 1974    
1975 8647     |   6  26   2 1975    
1976 8651     |   4  30   2 1976    
1977 8653     |   2  32   2 1977    
1978 8657     |   4  36   2 1978    
1979 8663     |   6  42   2 1979    
1980 8669     |   6  48   2 1980    
1981 8671     |   2  50   2 1981    
1982 8677     |   6  56   2 1982    
1983 8681     |   4  60   2 1983    
1984 8683     |   2  62   2 1984    
1985 8689     |   6  68   2 1985    
1986 8693     |   4  72   2 1986    
1987 8699     |   6  78   2 1987    
1988 8707     |   8  86   1 1988    
1989 8711     |   4  90   1 1989    
1990 8713     |   2  92   1 1990    
1991 8717     |   4  96   2 1991    
1992 8719     |   2  98   2 1992    
1993 8723     |   4 102   2 1993    
1994 8731     |   8   5   1 1994    
1995 8737     |   6  11   1 1995    
1996 8741     |   4  15   1 1996    
1997 8747     |   6  21   1 1997    
1998 8749     |   2  23   1 1998    
1999 8753     |   4  27   1 1999    
2000 8759     |   6  33   1 2000    
2001 8761     |   2  35   1 2001    
2002 8767     |   6  41   1 2002    
2003 8773     |   6  47   1 2003    
2004 8777     |   4  51   1 2004    
2005 8779     |   2  53   1 2005    
2006 8783     |   4  57   1 2006    
2007 8789     |   6  63   1 2007    
2008 8791     |   2  65   2 2008    
2009 8797     |   6  71   1 2009    
2010 8801     |   4  75   1 2010    
2011 8803     |   2  77   2 2011    
2012 8807     |   4  81   2 2012    
2013 8809     |   2  83   3 2013    
2014 8819     |  10  93   1 2014    
2015 8821     |   2  95   2 2015    
- - - - - - - - - - - - - - - - - - - 
2016 8831     |  10   0   0 2016    
2017 8833     |   2   2   1 2017    
2018 8837     |   4   6   1 2018    
2019 8839     |   2   8   2 2019    
2020 8843     |   4  12   2 2020    
2021 8849     |   6  18   1 2021    
2022 8851     |   2  20   2 2022    
2023 8857     |   6  26   2 2023    
2024 8861     |   4  30   2 2024    
2025 8863     |   2  32   2 2025    
2026 8867     |   4  36   2 2026    
2027 8873     |   6  42   2 2027    
2028 8879     |   6  48   2 2028    
2029 8881     |   2  50   2 2029    
2030 8887     |   6  56   2 2030    
2031 8891     |   4  60   2 2031    
2032 8893     |   2  62   2 2032    
2033 8899     |   6  68   2 2033    
2034 8903     |   4  72   2 2034    
2035 8909     |   6  78   2 2035    
2036 8917     |   8  86   1 2036    
2037 8921     |   4  90   1 2037    
2038 8923     |   2  92   1 2038    
2039 8927     |   4  96   2 2039    
2040 8929     |   2  98   2 2040    
2041 8933     |   4 102   2 2041    
2042 8941     |   8   5   1 2042    
2043 8947     |   6  11   1 2043    
2044 8951     |   4  15   1 2044    
2045 8957     |   6  21   1 2045    
2046 8959     |   2  23   1 2046    
2047 8963     |   4  27   1 2047    
2048 8969     |   6  33   1 2048    
2049 8971     |   2  35   1 2049    
2050 8977     |   6  41   1 2050    
2051 8983     |   6  47   1 2051    
2052 8987     |   4  51   1 2052    
2053 8989     |   2  53   1 2053    
2054 8993     |   4  57   1 2054    
2055 8999     |   6  63   1 2055    
2056 9001     |   2  65   2 2056    
2057 9007     |   6  71   1 2057    
2058 9011     |   4  75   1 2058    
2059 9013     |   2  77   2 2059    
2060 9017     |   4  81   2 2060    
2061 9019     |   2  83   3 2061    
2062 9029     |  10  93   1 2062    
2063 9031     |   2  95   2 2063    
- - - - - - - - - - - - - - - - - - - 
2064 9041     |  10   0   0 2064    
2065 9043     |   2   2   1 2065    
2066 9047     |   4   6   1 2066    
2067 9049     |   2   8   2 2067    
2068 9053     |   4  12   2 2068    
2069 9059     |   6  18   1 2069    
2070 9061     |   2  20   2 2070    
2071 9067     |   6  26   2 2071    
2072 9071     |   4  30   2 2072    
2073 9073     |   2  32   2 2073    
2074 9077     |   4  36   2 2074    
2075 9083     |   6  42   2 2075    
2076 9089     |   6  48   2 2076    
2077 9091     |   2  50   2 2077    
2078 9097     |   6  56   2 2078    
2079 9101     |   4  60   2 2079    
2080 9103     |   2  62   2 2080    
2081 9109     |   6  68   2 2081    
2082 9113     |   4  72   2 2082    
2083 9119     |   6  78   2 2083    
2084 9127     |   8  86   1 2084    
2085 9131     |   4  90   1 2085    
2086 9133     |   2  92   1 2086    
2087 9137     |   4  96   2 2087    
2088 9139     |   2  98   2 2088    
2089 9143     |   4 102   2 2089    
2090 9151     |   8   5   1 2090    
2091 9157     |   6  11   1 2091    
2092 9161     |   4  15   1 2092    
2093 9167     |   6  21   1 2093    
2094 9169     |   2  23   1 2094    
2095 9173     |   4  27   1 2095    
2096 9179     |   6  33   1 2096    
2097 9181     |   2  35   1 2097    
2098 9187     |   6  41   1 2098    
2099 9193     |   6  47   1 2099    
2100 9197     |   4  51   1 2100    
2101 9199     |   2  53   1 2101    
2102 9203     |   4  57   1 2102    
2103 9209     |   6  63   1 2103    
2104 9211     |   2  65   2 2104    
2105 9217     |   6  71   1 2105    
2106 9221     |   4  75   1 2106    
2107 9223     |   2  77   2 2107    
2108 9227     |   4  81   2 2108    
2109 9229     |   2  83   3 2109    
2110 9239     |  10  93   1 2110    
2111 9241     |   2  95   2 2111    
- - - - - - - - - - - - - - - - - - - 
2112 9251     |  10   0   0 2112    
2113 9253     |   2   2   1 2113    
2114 9257     |   4   6   1 2114    
2115 9259     |   2   8   2 2115    
2116 9263     |   4  12   2 2116    
2117 9269     |   6  18   1 2117    
2118 9271     |   2  20   2 2118    
2119 9277     |   6  26   2 2119    
2120 9281     |   4  30   2 2120    
2121 9283     |   2  32   2 2121    
2122 9287     |   4  36   2 2122    
2123 9293     |   6  42   2 2123    
2124 9299     |   6  48   2 2124    
2125 9301     |   2  50   2 2125    
2126 9307     |   6  56   2 2126    
2127 9311     |   4  60   2 2127    
2128 9313     |   2  62   2 2128    
2129 9319     |   6  68   2 2129    
2130 9323     |   4  72   2 2130    
2131 9329     |   6  78   2 2131    
2132 9337     |   8  86   1 2132    
2133 9341     |   4  90   1 2133    
2134 9343     |   2  92   1 2134    
2135 9347     |   4  96   2 2135    
2136 9349     |   2  98   2 2136    
2137 9353     |   4 102   2 2137    
2138 9361     |   8   5   1 2138    
2139 9367     |   6  11   1 2139    
2140 9371     |   4  15   1 2140    
2141 9377     |   6  21   1 2141    
2142 9379     |   2  23   1 2142    
2143 9383     |   4  27   1 2143    
2144 9389     |   6  33   1 2144    
2145 9391     |   2  35   1 2145    
2146 9397     |   6  41   1 2146    
2147 9403     |   6  47   1 2147    
2148 9407     |   4  51   1 2148    
2149 9409     |   2  53   1 2149    
2150 9413     |   4  57   1 2150    
2151 9419     |   6  63   1 2151    
2152 9421     |   2  65   2 2152    
2153 9427     |   6  71   1 2153    
2154 9431     |   4  75   1 2154    
2155 9433     |   2  77   2 2155    
2156 9437     |   4  81   2 2156    
2157 9439     |   2  83   3 2157    
2158 9449     |  10  93   1 2158    
2159 9451     |   2  95   2 2159    
- - - - - - - - - - - - - - - - - - - 
2160 9461     |  10   0   0 2160    
2161 9463     |   2   2   1 2161    
2162 9467     |   4   6   1 2162    
2163 9469     |   2   8   2 2163    
2164 9473     |   4  12   2 2164    
2165 9479     |   6  18   1 2165    
2166 9481     |   2  20   2 2166    
2167 9487     |   6  26   2 2167    
2168 9491     |   4  30   2 2168    
2169 9493     |   2  32   2 2169    
2170 9497     |   4  36   2 2170    
2171 9503     |   6  42   2 2171    
2172 9509     |   6  48   2 2172    
2173 9511     |   2  50   2 2173    
2174 9517     |   6  56   2 2174    
2175 9521     |   4  60   2 2175    
2176 9523     |   2  62   2 2176    
2177 9529     |   6  68   2 2177    
2178 9533     |   4  72   2 2178    
2179 9539     |   6  78   2 2179    
2180 9547     |   8  86   1 2180    
2181 9551     |   4  90   1 2181    
2182 9553     |   2  92   1 2182    
2183 9557     |   4  96   2 2183    
2184 9559     |   2  98   2 2184    
2185 9563     |   4 102   2 2185    
2186 9571     |   8   5   1 2186    
2187 9577     |   6  11   1 2187    
2188 9581     |   4  15   1 2188    
2189 9587     |   6  21   1 2189    
2190 9589     |   2  23   1 2190    
2191 9593     |   4  27   1 2191    
2192 9599     |   6  33   1 2192    
2193 9601     |   2  35   1 2193    
2194 9607     |   6  41   1 2194    
2195 9613     |   6  47   1 2195    
2196 9617     |   4  51   1 2196    
2197 9619     |   2  53   1 2197    
2198 9623     |   4  57   1 2198    
2199 9629     |   6  63   1 2199    
2200 9631     |   2  65   2 2200    
2201 9637     |   6  71   1 2201    
2202 9641     |   4  75   1 2202    
2203 9643     |   2  77   2 2203    
2204 9647     |   4  81   2 2204    
2205 9649     |   2  83   3 2205    
2206 9659     |  10  93   1 2206    
2207 9661     |   2  95   2 2207    
- - - - - - - - - - - - - - - - - - - 
2208 9671     |  10   0   0 2208    
2209 9673     |   2   2   1 2209    
2210 9677     |   4   6   1 2210    
2211 9679     |   2   8   2 2211    
2212 9683     |   4  12   2 2212    
2213 9689     |   6  18   1 2213    
2214 9691     |   2  20   2 2214    
2215 9697     |   6  26   2 2215    
2216 9701     |   4  30   2 2216    
2217 9703     |   2  32   2 2217    
2218 9707     |   4  36   2 2218    
2219 9713     |   6  42   2 2219    
2220 9719     |   6  48   2 2220    
2221 9721     |   2  50   2 2221    
2222 9727     |   6  56   2 2222    
2223 9731     |   4  60   2 2223    
2224 9733     |   2  62   2 2224    
2225 9739     |   6  68   2 2225    
2226 9743     |   4  72   2 2226    
2227 9749     |   6  78   2 2227    
2228 9757     |   8  86   1 2228    
2229 9761     |   4  90   1 2229    
2230 9763     |   2  92   1 2230    
2231 9767     |   4  96   2 2231    
2232 9769     |   2  98   2 2232    
2233 9773     |   4 102   2 2233    
2234 9781     |   8   5   1 2234    
2235 9787     |   6  11   1 2235    
2236 9791     |   4  15   1 2236    
2237 9797     |   6  21   1 2237    
2238 9799     |   2  23   1 2238    
2239 9803     |   4  27   1 2239    
2240 9809     |   6  33   1 2240    
2241 9811     |   2  35   1 2241    
2242 9817     |   6  41   1 2242    
2243 9823     |   6  47   1 2243    
2244 9827     |   4  51   1 2244    
2245 9829     |   2  53   1 2245    
2246 9833     |   4  57   1 2246    
2247 9839     |   6  63   1 2247    
2248 9841     |   2  65   2 2248    
2249 9847     |   6  71   1 2249    
2250 9851     |   4  75   1 2250    
2251 9853     |   2  77   2 2251    
2252 9857     |   4  81   2 2252    
2253 9859     |   2  83   3 2253    
2254 9869     |  10  93   1 2254    
2255 9871     |   2  95   2 2255    
- - - - - - - - - - - - - - - - - - - 
2256 9881     |  10   0   0 2256    
2257 9883     |   2   2   1 2257    
2258 9887     |   4   6   1 2258    
2259 9889     |   2   8   2 2259    
2260 9893     |   4  12   2 2260    
2261 9899     |   6  18   1 2261    
2262 9901     |   2  20   2 2262    
2263 9907     |   6  26   2 2263    
2264 9911     |   4  30   2 2264    
2265 9913     |   2  32   2 2265    
2266 9917     |   4  36   2 2266    
2267 9923     |   6  42   2 2267    
2268 9929     |   6  48   2 2268    
2269 9931     |   2  50   2 2269    
2270 9937     |   6  56   2 2270    
2271 9941     |   4  60   2 2271    
2272 9943     |   2  62   2 2272    
2273 9949     |   6  68   2 2273    
2274 9953     |   4  72   2 2274    
2275 9959     |   6  78   2 2275    
2276 9967     |   8  86   1 2276    
2277 9971     |   4  90   1 2277    
2278 9973     |   2  92   1 2278    
2279 9977     |   4  96   2 2279    
2280 9979     |   2  98   2 2280    
2281 9983     |   4 102   2 2281    
2282 9991     |   8   5   1 2282    
2283 9997     |   6  11   1 2283    
