  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
265 1163     |   4 102   2 265    
266 1171     |   8   5   1 266    
267 1177     |   6  11   1 267    
268 1181     |   4  15   1 268    
269 1187     |   6  21   1 269    
270 1189     |   2  23   1 270    
271 1193     |   4  27   1 271    
272 1199     |   6  33   1 272    
273 1201     |   2  35   1 273    
274 1207     |   6  41   1 274    
275 1213     |   6  47   1 275    
276 1217     |   4  51   1 276    
277 1219     |   2  53   1 277    
278 1223     |   4  57   1 278    
279 1229     |   6  63   1 279    
280 1231     |   2  65   2 280    
281 1237     |   6  71   1 281    
282 1241     |   4  75   1 282    
283 1243     |   2  77   2 283    
284 1247     |   4  81   2 284    
285 1249     |   2  83   3 285    
286 1259     |  10  93   1 286    
287 1261     |   2  95   2 287    
- - - - - - - - - - - - - - - - - - - 
288 1271     |  10   0   0 288    
289 1273     |   2   2   1 289    
290 1277     |   4   6   1 290    
291 1279     |   2   8   2 291    
292 1283     |   4  12   2 292    
293 1289     |   6  18   1 293    
294 1291     |   2  20   2 294    
295 1297     |   6  26   2 295    
296 1301     |   4  30   2 296    
297 1303     |   2  32   2 297    
298 1307     |   4  36   2 298    
299 1313     |   6  42   2 299    
300 1319     |   6  48   2 300    
301 1321     |   2  50   2 301    
302 1327     |   6  56   2 302    
303 1331     |   4  60   2 303    
304 1333     |   2  62   2 304    
305 1339     |   6  68   2 305    
306 1343     |   4  72   2 306    
307 1349     |   6  78   2 307    
308 1357     |   8  86   1 308    
309 1361     |   4  90   1 309    
310 1363     |   2  92   1 310    
311 1367     |   4  96   2 311    
312 1369     |   2  98   2 312    
313 1373     |   4 102   2 313    
314 1381     |   8   5   1 314    
315 1387     |   6  11   1 315    
316 1391     |   4  15   1 316    
317 1397     |   6  21   1 317    
318 1399     |   2  23   1 318    
319 1403     |   4  27   1 319    
320 1409     |   6  33   1 320    
321 1411     |   2  35   1 321    
322 1417     |   6  41   1 322    
323 1423     |   6  47   1 323    
324 1427     |   4  51   1 324    
325 1429     |   2  53   1 325    
326 1433     |   4  57   1 326    
327 1439     |   6  63   1 327    
328 1441     |   2  65   2 328    
329 1447     |   6  71   1 329    
330 1451     |   4  75   1 330    
331 1453     |   2  77   2 331    
332 1457     |   4  81   2 332    
333 1459     |   2  83   3 333    
334 1469     |  10  93   1 334    
335 1471     |   2  95   2 335    
- - - - - - - - - - - - - - - - - - - 
336 1481     |  10   0   0 336    
337 1483     |   2   2   1 337    
338 1487     |   4   6   1 338    
339 1489     |   2   8   2 339    
340 1493     |   4  12   2 340    
341 1499     |   6  18   1 341    
342 1501     |   2  20   2 342    
343 1507     |   6  26   2 343    
344 1511     |   4  30   2 344    
345 1513     |   2  32   2 345    
346 1517     |   4  36   2 346    
347 1523     |   6  42   2 347    
348 1529     |   6  48   2 348    
349 1531     |   2  50   2 349    
350 1537     |   6  56   2 350    
351 1541     |   4  60   2 351    
352 1543     |   2  62   2 352    
353 1549     |   6  68   2 353    
354 1553     |   4  72   2 354    
355 1559     |   6  78   2 355    
356 1567     |   8  86   1 356    
357 1571     |   4  90   1 357    
358 1573     |   2  92   1 358    
359 1577     |   4  96   2 359    
360 1579     |   2  98   2 360    
361 1583     |   4 102   2 361    
362 1591     |   8   5   1 362    
363 1597     |   6  11   1 363    
364 1601     |   4  15   1 364    
365 1607     |   6  21   1 365    
